,fidelities
0,0.021013637461055344885
1,0.74276307162317167787
2,0.074618429258728039
3,0.6244071768204612072
4,0.008682166547179041502
5,0.6161651838626704958
6,0.011259187157263416193
7,0.61687408944237653863
8,0.6056729475407759411
9,0.33951840827770457532
10,0.80690109729766845703
11,0.00527978409081697464
12,0.005298644769936800003
13,0.97495331193040812856
14,0.80793106555938720703
15,0.9706795055257573246
16,0.8066424975039484524
17,0.61324787016914650284
18,0.8055906014043098251
19,1.0
20,0.6381518173383085024
21,0.9638954435300379764
22,0.0069225765764713287354
23,0.80565025909623444456
24,0.97113177148083096313
25,0.59597061105367410416
26,0.71874535333214406574
27,0.6284768675541249072
28,0.8060220851188891755
29,0.0048479638062417515845
30,0.6252741941031269013
31,0.5733283545194363118
32,0.0070786170313116292263
33,0.005375717827658397889
34,0.63951957846699236665
35,0.6249413366003935266
36,0.0724384541422378736
37,0.62805639567065862927
38,0.9751382514014796943
39,0.62709840496869850845
40,0.006730135259796508028
41,0.7436577267304923522
42,0.25517151899585666097
43,0.0061068061849436638955
44,0.16128603861450124812
45,0.26339616930852044474
46,0.94849160169580482016
47,0.981382687905474671
48,0.5275938695251476407
49,0.6302961690145093554
50,0.0059249973855912685394
51,0.0056371339596807956696
52,0.5070683329314090715
53,1.0
54,0.0058637671172618857293
55,0.6405908202533064921
56,0.007079354729872396404
57,0.004834466148167848587
58,0.76923853773251826826
59,0.006294618360698223114
60,0.620479480098897751
61,0.25665993573407863693
62,0.6291826930166355414
63,0.97652327689073858963
64,0.006042097571801064576
65,0.014469490889978717241
66,0.024315831148252520927
67,0.004719483609671159055
68,0.61619804206919748246
69,0.5864455061675574177
70,0.5335434634219273775
71,0.006864802909852104826
72,0.5499065130151032932
73,0.8048682212829589844
74,0.0058023170568048945336
75,0.07408763727912913433
76,0.4439658676711980001
77,0.0064909318482032490882
78,0.94865315504037361904
79,0.0052730785682797431946
80,0.9629366004266495249
81,0.6634492393540442068
82,0.0043780803680419921875
83,0.006236134096980095777
84,0.64766626104888769255
85,0.02206028418977492439
86,0.8076990842819213867
87,0.13258843673266421104
88,0.0076349581039267143054
89,0.518324452468825303
90,0.6747309285974089077
91,0.0072776821659388353167
92,0.004779616145507465004
93,0.0062781153487625231124
94,0.64702002186636475844
95,0.0044240529988764576083
96,0.7691052750827520601
97,0.7589891661784852195
98,0.62016232228881618127
99,0.6202717400975008566
100,1.0
101,0.7602906318318817247
102,0.9705486616819636314
103,0.006929129278912624784
104,0.02578333306186024812
105,0.010134143280231976483
106,0.113591663060368289195
107,0.80605620145797740594
108,0.6237164353697373098
109,0.634455931283862129
110,0.006074264952397836169
111,0.93734853837013620836
112,0.76799784986768870887
113,0.8063206698090964464
114,0.01613764374113806771
115,0.17184640001682835453
116,0.61975146414213522217
117,0.96720543103591039014
118,0.33756870261266735955
119,1.0
120,0.8093945774453387143
121,0.9709335834939823995
122,0.021917613093520384865
123,0.0059266681782901295752
124,0.6227908736953521318
125,0.0056581137556319703943
126,0.0061417683027684679894
127,0.9757404809739920193
128,0.021545284971364934284
129,0.80211222812408078386
130,0.6187512504864699503
131,0.38151582139323192422
132,0.9470477520694747797
133,0.97379958818275791366
134,0.0055593959134689115847
135,0.4393376696768450662
136,0.28814809403024455037
137,0.66280471439675991974
138,0.5963043391182294428
139,0.60992250648724466444
140,0.61496045429362933277
141,0.00601408646214298976
142,0.61870958401366682455
143,0.0068762349486691303965
144,0.0074802581220865258307
145,0.4087157815783841741
146,0.46770991826936958446
147,0.024880506688452191238
148,0.80650269985198963507
149,0.6350440894101039291
150,0.62192413160062709476
151,0.0068494854494929322333
152,0.9187629608274127113
153,0.0721000345161002254
154,0.96672406412096811845
155,0.80366234480843889987
156,0.9503296002864622949
157,0.0085796247067275576564
158,0.009042715054156309426
159,0.80720844968918514795
160,0.8064746521220031994
161,0.24119369683743804855
162,0.0136694816000346372475
163,0.74154473778573948284
164,0.96975961140315125597
165,1.0
166,0.7342127440216608125
167,0.58926134245504391274
168,0.80652203280980039324
169,0.33647355318168886695
170,0.6577297514831050851
171,0.6234219385911260458
172,0.6099434892519899343
173,0.006467343773692845431
174,0.0058270359754185275733
175,0.7844895629741847065
176,0.59677495119957568726
177,0.566367677460369201
178,0.66472894414305150335
179,0.6031148861301550701
180,0.6177688902938427429
181,0.9731570803308550177
182,0.79513810902596193664
183,0.40253468927721480775
184,0.80605135604254074533
185,0.051402341959269633176
186,0.004885383881628512469
187,0.008006662130355834961
188,0.40257929655946605996
189,0.0043481769971549510956
190,0.60998231413325887385
191,0.6577114707325207865
192,0.08421646095889903649
193,0.96802883850241083774
194,0.80836566443017332517
195,0.023712616427494379034
196,0.46053817103664551613
197,0.007115397152769244171
198,0.52840241031270973604
199,0.874914857459085038
200,0.55827669641069499473
201,0.97539727497408390544
202,0.11862310674410136979
203,0.6192542878448409338
204,0.7559854247838776464
205,0.0073486774842697975135
206,0.63891843357848188134
207,0.0069906553253531464667
208,0.6249700567233267279
209,0.96799877414920787455
210,0.6714399938610018381
211,0.80754696202543096994
212,0.0063591003308887672496
213,0.006679172161966562271
214,0.41788128610073599356
215,1.0
216,0.6947708722797055758
217,0.9705375146562770228
218,0.6275737635438746187
219,0.6330974400143268843
220,0.6379595548417026363
221,0.009249800816178321838
222,0.108176390458772198055
223,0.5418617780388039762
224,0.16968726844588247205
225,0.7799045863689463287
226,0.55391452422214482176
227,0.9702993173054955678
228,0.6235519808047242929
229,0.6528390053254065073
230,0.73173701599595464273
231,0.633532899820594686
232,0.23987831767638195801
233,0.66255809091233841546
234,0.0059866386398333510874
235,0.38835679957236757254
236,0.8058330416679382324
237,0.004371037867165978273
238,0.24632738241327123419
239,0.76171912938954933203
240,0.80900551385339047883
241,0.53891826072732407216
242,0.006371544674038887024
243,0.7132418599647999402
244,0.96437495457397226506
245,0.9337266194861606472
246,0.0061155715957283982367
247,0.040311815491361237263
248,0.014949637954471227744
249,0.9689361181206078699
250,0.77589598978294449516
251,0.97277234319210947877
252,0.6371629755417530516
253,0.96498953550461308293
254,0.62180533639273050106
255,0.0049166544340550899506
256,0.55672208226380437424
257,0.6173696053104001935
258,0.7207008119900610854
259,0.008486598730087278539
260,0.0065683326256095421122
261,0.60920192826244712325
262,0.98136978673553543207
263,0.8054890124037634713
264,0.62183160369292656
265,0.005812597456271640338
266,0.7919403248355229019
267,0.010437211164877908259
268,0.32435466622752751054
269,0.79236660720754792386
270,0.008611723723625336682
271,0.47560009250726942298
272,0.60676297110816324043
273,0.72176070914621082153
274,0.6070822997050361325
275,0.58429284918880186606
276,0.006235485353996727577
277,0.008656364865601062775
278,0.66839112993120108897
279,0.80620528569944849284
280,0.0061545974908352304653
281,0.96712650364780239354
282,0.27540614585580419638
283,0.60036081284461628726
284,0.80648558761963762276
285,0.35320204572974323032
286,0.050345512281973467394
287,0.8065682649612426758
288,0.8057508817281392455
289,0.8063914179801940918
290,0.6349746982837541909
291,0.9760775667557133328
292,0.61679137392476357515
293,0.649136475443596872
294,0.0040017259307205685706
295,0.007837397127584272427
296,0.0064543974585831165314
297,0.6210833914918035825
298,0.6635512108363917916
299,0.628174625617860527
300,0.87622810755233293545
301,0.964775246914124307
302,0.6999157879368095303
303,0.8084941349124888932
304,0.6141646139787483305
305,0.80705553293228149414
306,0.635838071281444539
307,0.8075953248136120699
308,0.15489972697754691988
309,0.9735560947083751193
310,0.8058288693428040661
311,0.9785732307554712017
312,0.5972421437693203883
313,0.92777887545253712176
314,0.95483408639581923705
315,0.80515956878662109375
316,0.6343568987784063973
317,1.0
318,0.89734011061367624507
319,0.58623048243907749377
320,0.0063757700845599183173
321,0.3111466967472246159
322,0.26628634437010834102
323,0.80559313256477038667
324,0.80720699343003143866
325,0.036333039326811256142
326,0.94307324212400756025
327,0.006613681601432046253
328,0.004346365109086036682
329,0.767196847281945038
330,0.010270695322400812469
331,0.28435223579834167928
332,0.4991619486549555007
333,0.79711498969712035745
334,0.95080188410379384845
335,0.97546107746441734765
336,0.40121166395030466445
337,0.007970667889428592265
338,0.9656310432035568603
339,0.63345894697682936236
340,0.6627077713281966931
341,0.78731914443156147954
342,0.0055369534529745570092
343,0.60290623993407443937
344,0.33532533724097257632
345,0.60877426384468835696
346,0.9719862545668050968
347,0.22208138639531113667
348,0.33996167697866513935
349,0.80567306280136097296
350,0.620771694713789679
351,0.6287041288679127149
352,0.0075194512905300782066
353,0.7163177861876179886
354,0.92613972552219736567
355,0.8043564127958876542
356,0.6159739125217008615
357,0.09123323035586322627
358,0.8075071636603425862
359,0.004150588531047104922
360,0.79019801629085317796
361,0.6536507423520262483
362,0.35413438999118523887
363,0.4949438728703808854
364,0.79041673892376407284
365,0.95653995520320989066
366,0.0100729531720247234006
367,0.51946505938771514455
368,0.045780565415071368396
369,0.005333929770572790746
370,0.0057980576530098923774
371,0.01377035164305527061
372,0.57538206987277407123
373,0.0045653744600713244348
374,0.7909128554897071339
375,0.794301676672297452
376,0.007214433513581752777
377,0.082645126832333618005
378,0.28117501323113641698
379,0.5676494997699591538
380,0.94289162462621445293
381,0.008281405467406509693
382,0.74414458155079388213
383,0.647743435075051055
384,0.9691628170873443082
385,0.7586535745640375916
386,0.006722853053361176577
387,0.006099974952005538832
388,0.77199673905063581625
389,1.0
390,0.6458059741703753298
391,0.17826966402737121076
392,0.0052640917710959902673
393,0.9749163993481471113
394,0.0056562810204923161597
395,0.0048624477349221697717
396,0.96968039504813585694
397,0.80547517127837964246
398,0.6372675764706570156
399,0.45179331046448356624
400,0.42301644214613615125
401,0.23244165618969164777
402,0.6980244851383476945
403,0.6334483596223851043
404,0.006538685411214827624
405,0.0047264193198373544505
406,0.4702635269661399331
407,0.80625033681139457453
408,0.64421778947364960466
409,0.0069534608647709352652
410,0.6198764902024415102
411,0.61259263165716582034
412,0.0060457596555352211
413,0.95566401264385381076
414,0.62530722775853575524
415,0.89263719648704786813
416,0.697543363787659465
417,0.06600627095891023477
418,0.7927162626767084719
419,0.6076170762415957771
420,0.022072470311595714793
421,0.4450541435500660059
422,0.079165713240463495004
423,0.6324235298868370325
424,0.006307702045887708664
425,0.005550586144700951456
426,0.80607749540379436404
427,0.49771995525809675787
428,0.22276473433326685059
429,0.37626106464115377515
430,0.51730268350183283843
431,0.62593227544222740377
432,0.005428533535450696945
433,0.7364605696827722925
434,0.7603365620143670567
435,0.69729775334199850523
436,0.55853668114588572724
437,0.008930562487552001771
438,0.9322965573077102164
439,0.6356194016104149691
440,0.61633997405675600145
441,0.9752098529323809384
442,0.9700115320578684974
443,0.8065156955157922747
444,0.587934884480332709
445,0.114414857791105634144
446,0.6227880667934220238
447,0.61675834768145976206
448,0.63015284995281439784
449,0.7800720638363191073
450,0.40228907295797305954
451,0.80675476789474487305
452,0.082024674083837290084
453,0.36747399451924012137
454,0.3235736808497875483
455,0.64048795431699678815
456,0.24370071352338071313
457,0.0048476625233888634772
458,0.75579166412353515625
459,0.8066033529964202753
460,0.9757436283339417926
461,0.8060685396194459118
462,0.6273672676610926313
463,0.62540517516808302734
464,0.8064732400532198531
465,0.49270456432639675448
466,0.96966113689110544627
467,0.023539218430787364755
468,0.72823123929566990764
469,0.2191072645483113368
470,0.8094288541667403747
471,0.637345365748931858
472,0.0072164172306656846137
473,0.97835485318964332535
474,0.006649224087595938769
475,1.0
476,0.635634742734849989
477,0.018173576657315847899
478,0.63696230565325107076
479,0.6021707079389574391
480,0.5827206223476305569
481,0.8638179569661020851
482,0.5238680330745814073
483,0.6155095637816720977
484,0.6641435432151465701
485,0.8066017031669616699
486,0.7876726367861757172
487,0.0075355540029704579444
488,0.49469477985263315967
489,0.80620160592714806835
490,0.6044141521694216257
491,0.006873983424156905088
492,0.7384064362428145456
493,0.70074938289314514517
494,0.07167275897772361348
495,0.80539100004124342114
496,0.005770904943346977234
497,0.80729302379374068277
498,0.007590772409970005831
499,0.0053356423291327529854
500,0.0066509536657462231535
501,0.80669695138931285516
502,0.60206085930174813026
503,0.805406033992767334
504,0.28771948930067148265
505,0.0058695194311439982324
506,0.61870284656130991596
507,0.0054911496117711058526
508,0.0777463388165650221
509,0.97789635165639221537
510,0.8058334651297826001
511,0.06804550180995114217
512,0.004589866187119790754
513,0.80575873564020905615
514,0.80585262438143046015
515,0.004657248977474457395
516,0.012837877051402950615
517,0.013446546570991178143
518,0.44020412364744077038
519,0.0052798112100523944545
520,0.61779325986586852704
521,0.38898896576593339214
522,0.6177439062751182153
523,1.0
524,0.8054368585471920472
525,0.60051400917145170144
526,0.80461138486862182617
527,0.0036989271175116300583
528,0.2350313251273745685
529,0.67499473362239070795
530,0.8070871829986573376
531,0.97614182458564457967
532,0.97705987628830903713
533,0.97523260096272301745
534,0.7856444382408559468
535,0.71372347802567659425
536,0.012616536119325153301
537,0.40365048738213143986
538,0.9696814198590240075
539,0.89991238370397852453
540,0.0074099964629258585277
541,0.9363939280298611001
542,0.27603531682038917605
543,0.79184599478897266245
544,0.9747917590931259868
545,0.006607030984014273557
546,0.009175581918969184098
547,0.8063479387120198183
548,0.63206892089162114434
549,0.08030464238767880125
550,0.25354557734335209096
551,0.6295792029251833233
552,0.11413861560527557848
553,0.12690888141687239887
554,0.7059290949708872942
555,0.9760704329276186364
556,0.74393311287680641275
557,0.6139833643594294621
558,0.63027585035572886163
559,0.7350123646426519608
560,0.6227177824745865342
561,0.62417470454203227703
562,0.25481388856989978242
563,0.63727022581862868833
564,0.051810605560974797024
565,0.63818568416328147475
566,0.96431263034705017034
567,0.006077395286411047849
568,0.80692327022552501337
569,0.77688841183411261326
570,0.9743973276960559149
571,0.01371848673973212647
572,0.29985953990254837764
573,0.62657801004393454125
574,0.005258405115455389023
575,0.41839772413496328918
576,0.64322503096235628117
577,0.61091656416140294183
578,0.07198183702621792357
579,0.0059999004006385811896
580,0.8049694242247183995
581,0.9694874610089071476
582,0.014407649917351585123
583,0.416649994320998307
584,0.94048313294628493875
585,0.41875701560469086315
586,0.0080621389681204119054
587,0.0062210799709575105923
588,0.025615949581753377079
589,0.0076005323790013798804
590,0.76945867513216470446
591,0.96886097035674401123
592,0.8055844546530400718
593,0.06243623360523693766
594,0.80259436110900761463
595,0.3465375586624617199
596,0.95282196157790577384
597,0.60162578983093284446
598,0.67499619705697488925
599,0.87253812349299531004
600,0.03651301869037233694
601,0.45214246454930534513
602,0.7130320041492097527
603,0.008341802147490780597
604,0.052252533614331291012
605,0.80715841054916381836
606,0.8064364150497219663
607,0.58244625054130905184
608,0.007974933832883834839
609,0.0064182546921074381738
610,0.9749644968100388276
611,0.93047302319633173884
612,0.40468892072134887705
613,0.60957602726050119646
614,0.674273309607210547
615,0.59491568227399382884
616,0.80523163080215443
617,0.16143282533629138564
618,0.9484573805020340975
619,0.0063993644205493742383
620,0.8052621461015926352
621,0.96666213168260717303
622,0.7632361773968915353
623,0.63281618311148735145
624,0.6346699169252167927
625,0.49323422264622840405
626,0.6347450506172758189
627,0.118052966439611314864
628,0.75383667604722925937
629,0.006603268282646372264
630,0.61959509148697822223
631,0.42089418015211604862
632,0.7335084437430211546
633,0.95475393363477667474
634,0.9681750199441474525
635,0.66471660517468611484
636,0.7994438312283841386
637,0.010827408135972365483
638,0.05860191493609651775
639,0.6168683022673142613
640,1.0
641,0.66704274039969191357
642,0.6139517195955731532
643,0.07676082989858548644
644,0.3707649586171833933
645,0.07096720867710033798
646,0.005807999521493911743
647,0.62104549544347376067
648,0.006064690649509430799
649,0.94432623067826604313
650,1.0
651,0.6116354412145876829
652,0.9758378784936846406
653,0.80579224639253232976
654,0.4542189160361664313
655,0.74869899949100371384
656,0.61027443423816973844
657,0.97928489663254914
658,0.9732690408260326054
659,0.80621826131418117267
660,0.6408529022934820185
661,0.62306181933688120633
662,0.61966620490117152453
663,0.954560818564731961
664,0.77346033830916516294
665,0.35053039654979128992
666,0.80652000701503212543
667,1.0
668,0.97947881821920412815
669,0.1346377908317075156
670,0.6294138471581834926
671,0.0055711469613015660376
672,0.17184853298514962683
673,0.79007394346338077895
674,0.0060357214449176729842
675,0.6146115687157444052
676,0.6993391583495671693
677,0.80609784727560396256
678,0.005839931582560723214
679,0.63523932763539103785
680,0.07786331593183525024
681,1.0
682,0.7973484984588428137
683,0.97721339585191036026
684,0.8067294955253599964
685,0.59385862200993022597
686,0.024821227129081940843
687,0.00696415361016988841
688,0.9804665674558149524
689,0.8017525190778905797
690,0.007615492486059084222
691,0.5190010310523142101
692,0.40461069581605602075
693,0.9711109747615395138
694,0.61708016507121044025
695,0.9793843711231116078
696,0.631504538897206702
697,0.9699543963762525811
698,0.80357430918640926354
699,0.94587265828047584204
700,0.56459338081259502484
701,0.0053988159852504744723
702,0.45366771805314037858
703,0.01006435562846393246
704,0.38942865841134133298
705,0.8039105103216893644
706,0.6619793587687832215
